"","AAPL","MSFT","NVDA","C","GS","JPM","DIS","NFLX","ACGL"
"1",-0.00117396576805758,0.00157235902342406,0.0320296338835026,0.0118060169401165,0.0109582565216583,0.0193647852223913,0.00781971455389738,-0.0179635974860061,-0.00140420778191962
"2",0.00297124239379706,0.010029120149209,0.01069702816753,0.00205644717756622,0.00207470298563103,-0.000171842555891963,0.0105430199536799,0.0101069949132753,-0.0078103585095553
"3",-0.00283926787379399,-0.0123866116439266,-0.0285690841638718,-0.01324346670509,-0.0175141994738754,-0.0130693477343884,-0.0117811893407359,-0.0389651434075444,0.00248865654509697
"4",0.00897568410569238,0.00017749133522126,0.0321505752494428,0.0149553300982136,0.00996688999471455,0.0150130930245852,0.0150651443440736,0.0211858424463438,0.0120701208827355
"5",0.00641047640954,0.00379176378283236,0.00242069725422403,-0.00406814275955187,-0.0047332710297843,-0.00305896992096113,-0.00811452138193318,0.0298992540575103,0.00735382080845706
"6",-0.010289318352477,-0.0047510403598172,-0.00841682344562084,0.00828464595458205,0.00357021548171294,0.00560170725306218,0.000788034625131224,-0.00394575713413533,0.0129540443856131
"7",0.00091759226359904,0.00809206660183392,-0.0105749044352363,0.00442696657105919,0.00308409277480019,0.00348515676004063,0.00310161337911771,-0.0035093172589174,0.000785319812059782
"8",-0.0248794032430136,-0.024169199648064,-0.00089869345053897,0.0107045735248205,0.00476088728469718,0.0131940497637783,0.033729978957007,-0.0186476411202341,-0.0418368011909111
"9",0.00680748702350482,-0.00576844975527626,-0.00949880598251306,0.00208412044882333,-0.00346104790127262,-0.00621209471536442,0.000140017705491984,-0.00366153785415697,-0.000254712959486438
"10",0.00897697769933149,0.00443513968482318,0.0163757667198445,0.00942238608660518,0.011803235788894,0.0137624039773497,0.00897756729072885,0.000533044564076111,0.0145143727251581
"11",0.0296664834019203,0.0232217542200964,0.0304924211181223,0.00725342526008795,0.022566060473387,0.00691926545804991,0.0339157935455633,0.0534402493555782,0.00530663240086827
