"","AAPL","MSFT","NVDA","C","GS","JPM","DIS","NFLX","AMZN"
"1",0.0386178436074403,0.0198614912155718,0.0239976179655521,0.108003895612529,0.0687302330026822,0.0465901823102835,0.0294178764438147,0.0431530022764595,0.0332871545810933
"2",0.0186626017722896,0.0203484933111577,0.0134790448879349,0.0423215613484186,0.039307597647667,0.0404351761695343,0.0339721279033956,0.0829392896745698,0.0725375210732463
"3",0.0243371710097482,0.0200892929590255,0.0609836536433724,0.0363661213274491,0.0425428860353943,0.0411698301677239,0.0174659834843411,0.168563336685863,0.0468398108478907
"4",-0.00225267361623299,-0.00275513439113641,-0.00461291089473011,-0.0213816683609957,-0.0185204600672269,-0.0129835939714315,-0.00219139311984708,0.0212809943587697,-0.00538162248862918
"5",-0.00815849568983633,-0.0113141908913599,-0.00101915201706391,-0.0167753419048015,-0.0132158947684362,-0.0123591471647582,-0.0086097366492221,0.00302162143144976,-0.0073763303560586
"6",-0.00785807023434779,-0.00179668887645396,0.00165694161202949,-0.0185426336747586,-0.0195594590264415,-0.017076678121807,-0.0140112337332706,-0.00754781772577382,-0.00784461657443728
"7",-0.0102274272587265,-0.00955451009250819,-0.00864323190284084,0.0133456894584212,-0.00308778172668341,-0.00807260454997365,0.0144094441565767,-0.0109810880992109,-0.00176961254046063
"8",-0.0261067851841586,-0.0211080874298899,-0.0600660280983291,0.0105990035042067,-0.00927067975551825,0.0108770398925484,-0.0081380817023249,-0.0612163873048088,-0.0384707132248269
"9",-0.00699463953842295,0.000926417543348775,0.0314761389165092,-0.00142142912311866,0.00905914388699685,0.00210542931388436,0.00129524030108192,0.0231407422760816,-0.0224370401124371
"10",0.0198189989706415,-0.00821632898983585,-0.0357770303890314,0.0027378119306616,0.00475075396680997,-0.00636281237542875,0.0064422466716415,-0.0433619334361869,-0.00861970165261847
"11",-0.00984222714258043,0.00162775882678892,0.012577692790046,-0.00360448169875635,0.00493089215505423,0.00558413024283765,-0.000476171306436468,-0.0381399381535069,0.008969885496215
"12",0.0177548424586072,0.00795794732115483,0.00850910469755047,-0.00425415246350656,0.00277988350263451,0.00283369416965418,0.0122126263838109,0.029417215298701,0.00637617770460618
"13",-0.0100271542165597,-0.000707228147981248,0.00921196073148293,-0.00295127087455308,0.000644892534599456,-0.00364597937848087,0.000310209700497651,0.00995751176950273,-0.0131468991088893
"14",0.00174730638949274,0.0246330365095895,0.0118537807385518,0.00120896601466109,0.0168177664909032,-0.0190955522136852,0.0120893271579971,0.0637497223692922,0.0359290004459183
"15",-0.00104271573660855,-0.00234288927915752,0.00981662151000669,0.0252885410275561,0.0217360064411232,0.012810808360216,-0.00679982389976064,-0.0231292827763235,-0.00137403382531994
"16",0.000225197360260945,0.0096529292948249,-0.0262218785107305,-0.00362972721848023,0.000761080890346368,-0.00604638646231092,-0.00588704524715678,-0.00263654853116929,0.00438034750496104
"17",0.00312327439723529,0.0114777741322317,-0.00276080941223206,-0.00855404555815911,-0.0107957440122355,-0.00677797539044445,-0.00594467132738031,0.000280283325539039,0.0555943032678985
"18",0.0128405258554123,-0.00296601477184555,0.0160334551848755,-0.00193915248270362,0.00262451701996396,-0.00526803784504108,-0.00272388632497456,-0.00558626851864541,0.00372893071649943
"19",0.00464507051701533,-0.00952879783118725,-0.0105693079922408,-0.0235153588521026,-0.0218874704843843,-0.00679654910114335,0.0127866242671681,-0.00810786384374265,0.00124150377861657
"20",-0.0087738268027251,0.000616387693320215,9.77222163274223e-05,-0.00468241444122072,-0.000498194146745548,-0.00182082671261836,-0.000793299945045172,0.00133357116807901,-0.00063696116402277
"21",-0.00365653102720935,-0.002008250332859,-0.00785381830580744,0.0103837463266389,0.0136147303542685,0.0113289478999647,0.00269693199613894,0.0147455472993602,-0.0202107164655454
"22",0.0258068613279738,0.0119853787413001,0.00766301425434468,0.00420150473543639,0.00845996701191917,0.0077066941796411,0.0149735104694424,0.0140114211241524,0.0101994121094249
"23",-0.00332580624605587,-0.0053777773549282,0.00246952419024421,0.00370832347717775,0.00813000518658627,0.0028205316794319,0.00178431775439133,0.0159859663237653,-0.00989727600362908
"24",0.00588721779114522,0.0166758970434054,0.0220679985581687,0.00977853735526247,0.0148189506716508,0.00931826705098091,0.0133791974501694,-0.0114452919886726,-0.00299116017690572
